Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
rude-12.txt,1,49,28.22,88.95,71.95,64.46,12.25,14.29,100.00,61.22,16.33,10.20,4.08,0.00,6.12,0.00,0.00,6.12,6.12,14.29,14.29,8.16,6.12,4.08,22.45,0.00,0.00,0.00,4.08,2.04,2.04,2.04,0.00,0.00,0.00,0.00,16.33,4.08,0.00,2.04,4.08,8.16,0.00,0.00,0.00,0.00,6.12,2.04,2.04,0.00,2.04,0.00,2.04,0.00,2.04,0.00,0.00,4.08,2.04,0.00,2.04,0.00,0.00,0.00,18.37,4.08,18.37,6.12,0.00,12.24,2.04,2.04,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.41,8.16,2.04,0.00,0.00,0.00,0.00,4.08,0.00,6.12,0.00,0.00
rude-13.txt,1,37,3.49,91.16,54.14,25.77,9.25,5.41,91.89,59.46,21.62,16.22,2.70,0.00,13.51,0.00,0.00,5.41,8.11,2.70,13.51,10.81,0.00,10.81,32.43,0.00,0.00,2.70,2.70,0.00,5.41,2.70,2.70,0.00,0.00,2.70,16.22,0.00,0.00,0.00,0.00,16.22,2.70,2.70,2.70,0.00,8.11,2.70,2.70,2.70,0.00,0.00,2.70,0.00,0.00,0.00,2.70,8.11,0.00,0.00,2.70,5.41,0.00,5.41,18.92,0.00,16.22,2.70,2.70,10.81,0.00,2.70,0.00,0.00,0.00,0.00,2.70,0.00,0.00,2.70,0.00,0.00,21.62,10.81,8.11,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00
rude-14.txt,1,28,47.35,99.00,1.06,87.20,7.00,7.14,100.00,53.57,21.43,21.43,7.14,0.00,7.14,7.14,0.00,0.00,7.14,10.71,7.14,10.71,0.00,0.00,28.57,3.57,0.00,0.00,0.00,0.00,3.57,3.57,0.00,0.00,0.00,0.00,32.14,3.57,0.00,3.57,10.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,3.57,7.14,0.00,3.57,0.00,0.00,0.00,3.57,14.29,0.00,0.00,7.14,7.14,0.00,10.71,14.29,3.57,7.14,3.57,3.57,0.00,0.00,3.57,0.00,0.00,3.57,0.00,7.14,0.00,0.00,0.00,3.57,3.57,21.43,14.29,3.57,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00
rude-15.txt,1,9,4.38,13.32,58.07,1.00,4.50,0.00,77.78,44.44,22.22,22.22,11.11,0.00,11.11,0.00,0.00,0.00,11.11,0.00,22.22,0.00,0.00,11.11,33.33,0.00,0.00,0.00,0.00,0.00,22.22,0.00,22.22,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,44.44,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00
rude-17.txt,1,27,11.88,93.07,92.47,99.00,6.75,3.70,96.30,55.56,22.22,14.81,3.70,0.00,11.11,0.00,0.00,7.41,3.70,11.11,7.41,11.11,7.41,3.70,22.22,7.41,0.00,0.00,0.00,0.00,7.41,7.41,0.00,0.00,0.00,0.00,14.81,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,3.70,11.11,0.00,3.70,3.70,3.70,3.70,0.00,0.00,0.00,3.70,0.00,0.00,0.00,3.70,0.00,3.70,14.81,0.00,22.22,7.41,14.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,3.70,0.00,0.00,25.93,14.81,7.41,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00
rude-18.txt,1,40,90.06,99.00,27.99,72.57,10.00,12.50,92.50,62.50,22.50,15.00,0.00,10.00,5.00,0.00,0.00,7.50,10.00,20.00,7.50,2.50,0.00,0.00,17.50,0.00,0.00,5.00,0.00,0.00,7.50,5.00,2.50,0.00,2.50,0.00,22.50,5.00,0.00,2.50,2.50,10.00,2.50,0.00,5.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,10.00,0.00,2.50,2.50,0.00,7.50,10.00,0.00,20.00,0.00,12.50,7.50,0.00,2.50,0.00,0.00,0.00,0.00,5.00,2.50,0.00,2.50,0.00,0.00,22.50,7.50,7.50,0.00,0.00,2.50,0.00,0.00,0.00,5.00,0.00,0.00
rude-21.txt,1,29,4.13,95.75,11.50,99.00,9.67,17.24,100.00,58.62,27.59,24.14,6.90,3.45,10.34,3.45,0.00,3.45,3.45,10.34,17.24,6.90,6.90,0.00,31.03,10.34,10.34,6.90,0.00,3.45,13.79,10.34,3.45,0.00,3.45,0.00,20.69,0.00,0.00,0.00,3.45,13.79,0.00,0.00,3.45,0.00,3.45,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,3.45,3.45,0.00,6.90,0.00,3.45,24.14,3.45,6.90,3.45,0.00,3.45,0.00,0.00,0.00,0.00,6.90,3.45,10.34,3.45,0.00,3.45,3.45,0.00,24.14,10.34,3.45,0.00,0.00,0.00,0.00,0.00,0.00,10.34,0.00,0.00
rude-25.txt,1,20,8.19,84.14,43.37,99.00,5.00,5.00,95.00,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,10.00,15.00,5.00,0.00,35.00,0.00,0.00,10.00,0.00,5.00,15.00,15.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,20.00,15.00,25.00,10.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,25.00,10.00,5.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
rude-26.txt,1,15,51.43,99.00,1.00,99.00,3.75,0.00,80.00,40.00,20.00,13.33,0.00,0.00,13.33,0.00,0.00,6.67,0.00,13.33,13.33,0.00,0.00,0.00,26.67,13.33,0.00,6.67,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,26.67,6.67,0.00,6.67,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,6.67,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,13.33,0.00,0.00,0.00,6.67,0.00,0.00,0.00,13.33,0.00,0.00
rude-27.txt,1,22,1.00,99.00,1.00,99.00,5.50,4.55,90.91,68.18,27.27,22.73,0.00,0.00,18.18,4.55,0.00,4.55,0.00,9.09,18.18,13.64,4.55,4.55,27.27,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,22.73,0.00,0.00,0.00,4.55,4.55,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,4.55,0.00,0.00,36.36,0.00,13.64,4.55,4.55,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,13.64,4.55,0.00,0.00,4.55,0.00,0.00,0.00,4.55,0.00,0.00
